2003-04,19,TOR,NBA,C,75,63,2510,327,712,.459,5,14,.357,322,698,.461,.463,202,288,.701,191,366,557,78,59,106,107,215,861
2004-05,20,TOR,NBA,PF,81,81,3017,473,1005,.471,3,10,.300,470,995,.472,.472,412,542,.760,194,524,718,153,76,113,187,226,1361
2005-06 ★,21,TOR,NBA,C,70,70,2751,549,1087,.505,0,13,.000,549,1074,.511,.505,474,581,.816,204,443,647,181,50,79,157,209,1572
2006-07 ★,22,TOR,NBA,C,69,69,2658,543,1094,.496,12,35,.343,531,1059,.501,.502,463,590,.785,186,555,741,175,39,90,179,163,1561
2007-08 ★,23,TOR,NBA,C,67,67,2425,507,1027,.494,10,25,.400,497,1002,.496,.499,472,559,.844,174,409,583,171,63,67,153,157,1496
2008-09 ★,24,TOR,NBA,C,77,77,2928,615,1263,.487,12,49,.245,603,1214,.497,.492,504,617,.817,215,556,771,191,67,77,174,189,1746
2009-10 ★,25,TOR,NBA,C,70,70,2526,600,1158,.518,8,22,.364,592,1136,.521,.522,470,590,.797,205,554,759,166,43,68,169,170,1678
2010-11 ★,26,MIA,NBA,PF,77,77,2795,524,1056,.496,6,25,.240,518,1031,.502,.499,384,471,.815,141,500,641,144,59,49,138,172,1438
2011-12 ★,27,MIA,NBA,PF,57,57,2007,393,807,.487,10,35,.286,383,772,.496,.493,229,279,.821,94,358,452,103,51,45,117,128,1025
2012-13 ★,28,MIA,NBA,C,74,74,2454,485,907,.535,21,74,.284,464,833,.557,.546,241,302,.798,131,370,501,123,66,101,128,168,1232
2013-14 ★,29,MIA,NBA,C,79,79,2531,492,953,.516,74,218,.339,418,735,.569,.555,223,272,.820,98,424,522,87,80,78,125,192,1281
2014-15 ★,30,MIA,NBA,C,44,44,1556,343,745,.460,63,168,.375,280,577,.485,.503,179,232,.772,46,264,310,95,41,25,95,69,928
Career,,,NBA,,840,828,30158,5851,11814,.495,224,688,.326,5627,11126,.506,.505,4253,5323,.799,1879,5323,7202,1667,694,898,1729,2058,16179
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,TOR,NBA,,509,497,18815,3614,7346,.492,50,168,.298,3564,7178,.497,.495,2997,3767,.796,1369,3407,4776,1115,397,600,1126,1329,10275
5 seasons,,MIA,NBA,,331,331,11343,2237,4468,.501,174,520,.335,2063,3948,.523,.520,1256,1556,.807,510,1916,2426,552,297,298,603,729,5904
