2009-10,22,TOT,NBA,PF,47,0,624,99,201,.493,0,2,.000,99,199,.497,.493,46,68,.676,76,99,175,20,14,21,30,92,244
2009-10,22,NYK,NBA,PF,24,0,252,41,92,.446,0,2,.000,41,90,.456,.446,15,21,.714,32,29,61,7,10,9,12,37,97
2009-10,22,HOU,NBA,PF,23,0,372,58,109,.532,0,0,,58,109,.532,.532,31,47,.660,44,70,114,13,4,12,18,55,147
2010-11,23,HOU,NBA,C,72,11,1125,173,352,.491,0,2,.000,173,350,.494,.491,60,85,.706,128,178,306,29,14,52,62,157,406
2011-12,24,TOT,NBA,C,39,8,551,82,165,.497,0,3,.000,82,162,.506,.497,30,47,.638,61,125,186,16,14,27,31,71,194
2011-12,24,HOU,NBA,C,32,7,469,68,135,.504,0,3,.000,68,132,.515,.504,25,39,.641,47,108,155,14,9,21,24,60,161
2011-12,24,LAL,NBA,C,7,1,82,14,30,.467,0,0,,14,30,.467,.467,5,8,.625,14,17,31,2,5,6,7,11,33
2012-13,25,LAL,NBA,PF,29,1,458,77,155,.497,0,2,.000,77,153,.503,.497,40,61,.656,82,84,166,13,8,19,26,55,194
2013-14,26,LAL,NBA,PF,72,32,1500,286,521,.549,0,1,.000,286,520,.550,.549,124,181,.685,194,341,535,54,29,64,75,172,696
2014-15,27,LAL,NBA,C,55,48,1522,285,614,.464,1,4,.250,284,610,.466,.465,108,143,.755,141,299,440,77,27,47,81,130,679
Career,,,NBA,,314,100,5780,1002,2008,.499,1,14,.071,1001,1994,.502,.499,408,585,.697,682,1126,1808,209,106,230,305,677,2413
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,LAL,NBA,,163,82,3562,662,1320,.502,1,7,.143,661,1313,.503,.502,277,393,.705,431,741,1172,146,69,136,189,368,1602
3 seasons,,HOU,NBA,,127,18,1966,299,596,.502,0,5,.000,299,591,.506,.502,116,171,.678,219,356,575,56,27,85,104,272,714
1 season,,NYK,NBA,,24,0,252,41,92,.446,0,2,.000,41,90,.456,.446,15,21,.714,32,29,61,7,10,9,12,37,97
