2007-08,19,PHI,NBA,PF,74,22,1554,264,490,.539,6,19,.316,258,471,.548,.545,76,103,.738,120,192,312,58,73,8,64,126,610
2008-09,20,PHI,NBA,PF,75,71,2580,475,960,.495,56,164,.341,419,796,.526,.524,139,189,.735,139,238,377,86,100,23,118,165,1145
2009-10,21,PHI,NBA,PF,67,45,2145,382,813,.470,48,138,.348,334,675,.495,.499,114,165,.691,130,220,350,97,81,15,126,133,926
2010-11,22,PHI,NBA,PF,82,1,2135,458,847,.541,6,22,.273,452,825,.548,.544,123,174,.707,153,281,434,82,90,26,99,170,1045
2011-12,23,PHI,NBA,PF,63,1,1755,348,687,.507,1,4,.250,347,683,.508,.507,111,144,.771,137,188,325,74,64,41,55,127,808
2012-13,24,PHI,NBA,PF,76,76,2629,509,958,.531,1,8,.125,508,950,.535,.532,108,188,.574,182,389,571,125,133,55,90,191,1127
2013-14,25,PHI,NBA,PF,79,78,2718,582,1283,.454,90,292,.308,492,991,.496,.489,163,229,.712,166,310,476,182,167,36,165,213,1417
2014-15,26,TOT,NBA,PF,55,48,1764,326,705,.462,26,76,.342,300,629,.477,.481,96,141,.681,87,189,276,142,94,19,83,127,774
2014-15,26,MIN,NBA,PF,48,48,1605,289,641,.451,19,65,.292,270,576,.469,.466,88,129,.682,75,170,245,135,86,17,75,115,685
2014-15,26,BRK,NBA,PF,7,0,159,37,64,.578,7,11,.636,30,53,.566,.633,8,12,.667,12,19,31,7,8,2,8,12,89
Career,,,NBA,,571,342,17280,3344,6743,.496,234,723,.324,3110,6020,.517,.513,930,1333,.698,1114,2007,3121,846,802,223,800,1252,7852
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,PHI,NBA,,516,294,15516,3018,6038,.500,208,647,.321,2810,5391,.521,.517,834,1192,.700,1027,1818,2845,704,708,204,717,1125,7078
1 season,,MIN,NBA,,48,48,1605,289,641,.451,19,65,.292,270,576,.469,.466,88,129,.682,75,170,245,135,86,17,75,115,685
1 season,,BRK,NBA,,7,0,159,37,64,.578,7,11,.636,30,53,.566,.633,8,12,.667,12,19,31,7,8,2,8,12,89
